path	sentence	num characters
7cbdda13e6a6ee6457667d1caabe0222.wav	Scam artists lie. Their success depends on having an airtight answer for everything.	84
b8b8efb6e0042adb2a90127b4d605b18.wav	They managed to avoid attracting much attention.	48
53b83d2c3215394a3c8401fc77a7c2b5.wav	Scientists believe the Solar System formed around four point six billion years ago.	83
7c197c123ddcabc66b7d02ce484663d8.wav	Alexander was the first to break the lines, followed by Philip's generals.	74
5d5dcb7c908b644efc4f37980a2eb986.wav	Nobody interfered with them or regulated their conduct. They might get drunk when so disposed, and did so frequently, alone or in company.	138
c3c611ba8b3d8ddc9e4a98e3035f80ba.wav	The T.N.T. blows up the granite, forming a tunnel to the coal and iron ore.	75
6552c21aac272c5022f40bbece44258c.wav	They were mainly members of the criminal classes.	49
0398ed1aff279f5b4190491ef7e636d9.wav	Today, anyone can pass both bridges for free, but one is closed to cars.	72
2da48b56185e1b74dee730c3625ea117.wav	An asian man carrying a suitcase while talking on the phone and walking quickly.	80
fec08a43fa777e977518b5eca40e44c4.wav	In his person he was neat and fastidious;	41
22dab3e75bf7fa5391386ae6e9d8fc31.wav	A man is sitting on a pink cart with a little girl in the grocery store.	72
b1e6a5896f5ffbe46b913035a8ad5f72.wav	Where is my shoe?	17
2eb98220efba57828a4ec42498f54e05.wav	Transfer skillet to the preheated oven; bake pizza until crust is lightly browned, about eighteen minutes.	106
a218955a4abf254701e0ec2e95ccefc6.wav	More importantly, the lack of carefully prepared and carefully transmitted instructions for typical visits to cities can lead to lapses in protection.	150
c6d2e397794a994ed78a363180888d7a.wav	They sent him to Minsk to work in a radio and television factory as a metal worker.	83
992b69165fafcd3d37ca2bcede40fc91.wav	Can you see the beacon at the top of the wind turbine?	54
c758088531f2d05efa215160aabd2991.wav	I have disabled some of the certificate authorities, but they're not grayed out in this list.	93
90bb1f6b98c42b37bcb1a72be2e38aab.wav	This plank was made for walking on.	35
96101dc2935d12453728038a6c61e16e.wav	When the user's identity has been accepted by the server, you will be notified.	79
c796f70b310d4f71c84e3df45fb76c12.wav	A sailor, Krapps by name, occupied one of the upper cells in the new block.	75
1366ef531c1e1aa8e75163c5ac517169.wav	His original manuscripts are collected in the family archive, including some specially bound volumes of some of his works.	122
28dec81c354323ebdd56f48f75134726.wav	Modern printers understand this, but it is only practiced in the very best establishments.	90
aec45dbf51cd496de83fbd5b20f0c19f.wav	You have to be able to deal with all age groups.	48
f0eadc88c1e7d9ede611d74d41d03c59.wav	The greatest pains might be taken to secure isolation,	54
722c866cbccc31d635a6017c357d47f3.wav	I'm sorry, what did you say?	28
053460856a5f101ffc6be462cafd41d3.wav	Top pork chops with onions, sweet potatoes, and apples. Sprinkle with brown sugar.	82
b67e315122f4d7f9337e7e5ba0875a66.wav	I'm just writing code to simulate an omnidirectional camera at the moment.	74
846c70c5486c9ba206b51d1c5c1c7a56.wav	Grape juice and water mix well.	31
200820c1e9e64742b318a34148b98598.wav	was on November twenty to twenty-one, nineteen sixty-three.	59
0c4c3d73387cf8726defb701f39ecec8.wav	Blinded with their long hair, they tore at each other like two furies; their bonnets and caps were trodden underfoot in the kennel,	131
a8fdf8bcda092ce26574f64e467931d2.wav	"The false coin was bought by an agent from an agent, and dealings were carried on secretly at the ""Clock House"" in Seven Dials."	127
b5afcb3cc7fe14fc0c363636fff68338.wav	There the flood mark is ten inches.	35
43cc4ab2c79a94c309721a285f3ffdd0.wav	As the circumstances under which it was perpetrated were somewhat novel,	72
e55925d80213bc03e1072a59e29bed9c.wav	Mr. Briggs left the bank one afternoon as usual, dined with his daughter at Peckham,	84
d93c5c3f5c607825a5fc4517386a111f.wav	Did it work?	12
fff9d87590cd02394ed0c17a3b324867.wav	There was no marker.	20
9bcf3ccfbc47c29255c75a625f2728d2.wav	It would take months or years to get substantial agreement upon the type and language of the amendment.	103
a6833516aad759860e0e66905089a960.wav	The courts, however, have cast doubts on the ability of the elected Congress to protect us against catastrophe	110
48a12a1bea69102ec57e679593f9f023.wav	and how, in punishment for all his wickedness, he became a calf, and for seven years grazed the grass in the fields about the city.	131
5f900addddb8c262f876aa48babe3340.wav	The college decided to ebb their plan for increasing their parking spaces.	74
7be10a2a792ca4c91beb40cf67f270e7.wav	The circulatory system distributes these foods. In animals foods prepared for absorption in the stomach and intestine (by digestion)	132
a19fd18fc5a34c506a548b52660ce5ca.wav	The stale smell of old beer lingers.	36
de1889bb4a7c0e9e9383391f9ca2f95d.wav	The pigs and cows ran everywhere.	33
e69e64684061992fec4adde425f5ebaf.wav	"His most frequent use of a hand-held camera was for ""Seven"", in which five scenes were shot that way."	101
8e17b91c1b9cf9531a6ac198651f65ef.wav	The incumbent has no technical qualifications in the area of Presidential protection.	85
86b717a7ea2aa811f79e5f2e5d8a909a.wav	was introduced as early as seventeen ninety by Mr. Blackburn	60
d405048b50aa36162b1f81687e27cc67.wav	The Central-Midlevels escalator system in Hong Kong consists of twenty escalators.	82
dc6d9a648705df7ab378533dbfd8142c.wav	In six hundred feet, use the right two lanes to turn right at the third cross street onto Ash Street.	101
211241c5d61c45244866e9cfbdfeae94.wav	There are numberless similarities and correlations and surprising uniformities.	79
5b942288793324d86f21d607f38f7157.wav	After World War Two, the Mafia took advantage of the weakness of the postwar Italian government and set up heroin labs in Sicily.	129
625809bacb59804d1ae125c36c6d2591.wav	It features prominently in the mythologies of many cultures.	60
b3cd8fab67232d69ad4df47c0a974e80.wav	Cuisine in Tokyo is internationally acclaimed.	46
57c288eea4ea611ceeebbfbb34e8f04f.wav	Even when the bubble burst Redpath, who had lived at the rate of twenty thousand a year,	88
a9e80029635983a3c7a20b1b0821a62f.wav	His military career began while he was still the crown prince, and his father was on the throne.	96
a530d24d95c8fb5eea85b8e778c7e6c5.wav	Use a wet napkin or handkerchief over nose and mouth. Move away from fire and smoke.	84
883764d47e531fb35957f09352c8b1ca.wav	The prisoner mentioned above was continually persecuted by trials of this kind.	79
7de3b25cfcd449347a7e574a4f969662.wav	The doctor cured him with these pills.	38
f6fc8d257d2d2789062173bd33f78d37.wav	It firmly endorsed Slovenia's path into the European Union.	59
ce6c24f27b1bd5e7feeb2f2a90ccf4ab.wav	The most recent U.S. government statistics show a marked increase in the yearly number of deaths by drug overdose.	114
302703dfb6279abd24bd21dff7e1f8c3.wav	However, the Outback Sport remained in production for the U.S. market.	70
03a36b129eefc2f50410a81a9bc7651f.wav	His son has been travelling with the Tartan Army for years.	59
d8d9c177f5c0c314739dd965cc1f94ae.wav	Don't do business with someone who tries to convince you otherwise.	67
0c7bc8d6aec1fdf877db9858d0e2d93d.wav	On November eighteen,	21
bbf85970cfff9e57764b655fc4f7809c.wav	There is a curbside recycling scheme that currently serves fifteen thousand five hundred households.	100
aa4b79e3b3515384e1bdf3756582e08a.wav	A man and a woman are standing behind an elderly man who is looking at a bush.	78
0fbe76705a3f98fafba5d3663a9d4cf2.wav	and write an order sufficient to secure the surrender of the other one thousand two hundred pounds.	99
998c50af388514d83c75455130d70c67.wav	scanning not only the crowds but the windows and roofs of buildings, overpasses, and crossings.	95
54c45c28451e3e60e304c83e97caa320.wav	Seventeen minutes later, she was in the water and nearly drowned.	65
38ac9dc6a5a09122e5379a5a0bc9a52c.wav	Another reason to avoid dynamic memory allocation is memory fragmentation.	74
e7b01c4252158d745c97f604e0f49445.wav	They have shown a great desire and attitude.	44
70827258aa6114fa03867756215ec80a.wav	I should think not!	19
c736b025f7a6b3a111f49a73936c1d09.wav	"Sir, he answered, ""they sent me the very riff-raff."""	52
ada528905764fd7576d38b10a39d6c46.wav	Lee Oswald exhibited an average amount of proficiency with that weapon.	71
5d6ec5e51dfb5a846910126ccfff8c66.wav	The new highway is expected to cost nine point two four million dollars.	72
328f361286ed4ea3bc9e676ab5490fba.wav	democracy will have failed far beyond the importance to it of any king of precedent concerning the judiciary.	109
a2abd7c30ef2a2fefc0f94c5cfb97648.wav	He took his plate, grabbed a knife and fork and scowled at the savagery on television.	86
b44ebc383fb0d9bef6fe4c684bc49a87.wav	What is the matter?	19
8e5894273a9f16e1e75ba3e38a8d6b2f.wav	Rain likely. Cloudy, with a high near forty-nine.	49
57b42604344c245557a49f152f60b59f.wav	This is because it originally was the flag of the Council of Europe.	68
0de6d85f6143c1da9c0014e95d8269fd.wav	Many others were physically wounded, some permanently disabled.	63
2b832b763f5a7b2991d1e164cc8575e5.wav	Two saints on one day.	22
1f4a9b0482af9060441f82468d212b57.wav	Work has started.	17
33eb1b0cff946c418cb6885dbbbfc415.wav	The gardener kept the grounds looking superb.	45
d81eda69df44f42d664ce356eea23ff6.wav	and this source should not be neglected by undue concentration on relationships with other Federal agencies.	108
5a44f9490a163d5bd1050cdd7e58d9d6.wav	meaning to kill him and rifle the shop.	39
d1f599ce17caf1a4d1faf39ff32a5da9.wav	who permitted him to go up on to the roof of the old wards, in order to throw water for flushing purposes down a shoot.	119
55f8a0e1c653446fd0eb80ee7376c13c.wav	This is considered the first proper phase of Special Forces training.	69
e6a6d9000542c108042f475f936f1296.wav	Under the Inquisition.	22
cdd2239980fe1926db30a29449389ca5.wav	Debra is a explorer that has been all over the world.	53
aa0a00d11334d800f1a1014ff8aef391.wav	I think most people tend to dress pretty casually.	50
365e048de57c28c498fbcd8d00145734.wav	There's a variety of possibilities, but the checkerboard pattern doesn't seem appropriate here.	95
1d3966f812d4fe1c3fbafa56ff7bee59.wav	Try to have the court decide the case.	38
825c045e17ece7eb89da26ac6a3e80f8.wav	Its present manual filing system is obsolete;	45
78ff92d883a46a91cc6e46989cd2b125.wav	There was no lack of air and light for the new jail, and several exercising yards.	82
95463212a43d72a3858bbf866f6617aa.wav	This time, it will have opened up the field a little bit.	57
e3c57b8e41f83141c0202acbff950924.wav	The way to save money is not to spend much.	43
cd31e69f605c176b42b5273eeacf401b.wav	At its maximum the trading post covered a large area.	53
b62684eef06881680925a2a067fff89d.wav	A filing case is now hard to buy.	33
19ba082405f07b81617ee3bf0ccd6749.wav	I have wanted to buy one for the National Gallery.	50
03d674c2226b3b9eb48b6445e14c6659.wav	Then he experienced his first sensation of pain, which became excruciating.	75
d44f6c34b35241d2366195d42fb12043.wav	How they managed to improvise at such short notice, she'll never know.	70
61a7019e668c867e5e4de07809dbc56f.wav	The Early Years	15
d06f2f795915fa40105d3ca49a34e6e7.wav	but there is good evidence to show that the body after execution was handed over to his friends and interred privately.	119
b5779c9cbda752f790c7f62b9732dfde.wav	A man with reflective safety clothes and ear protection drives a John Deere tractor on a road.	94
1b5be1bd78cbe22f3844b4bee84e1188.wav	It is set in Paris.	19
fe22b7e903bb6646035813601e20ac2b.wav	Hold your nose to keep the smell from disabling your motor functions.	69
3330faeaf28a306fab25ac6f33e5b1f6.wav	There were work-rooms for wool-washing, dyeing, carding, and spinning.	70
2b6f964e4b726ccd30cd85ea0d1d3d8f.wav	As, indeed, they would be.	26
48705dc2f6cf2da0e75a726e7a5c3820.wav	You do not change overnight.	28
c6ea262afcdf97799de30fa5e6412fd4.wav	In general, parting is caused by some stress applied to a crystal.	66
fbe22666b8068c118155291ee9ed52b6.wav	and I assure my fellow citizens that no energy will be spared in using these funds effectively	94
abd673aee43720ef7f41d778341486cc.wav	Long live the king.	19
21faba1530cf5b922bc62b2f6c6a9007.wav	A very young boy sliding down a slide into a swimming pool, wearing blue floaties.	82
7dfb7963ee87606b442b200645fd8ac9.wav	But it failed.	14
68e6acc770c3ee62df4b487aa2b419c8.wav	In the early days, I was obsessed with working in the theatre.	62
53bbfaeae2945867072063cee3c129bb.wav	and advised them of some of his activities on behalf of the organization.	73
fda85c89de290addce99163f82a21272.wav	Karl is over there.	19
34ac0df8ca1fccb2343c7f451f62e941.wav	Bananas contain a lot of sugar, even though they are fruits.	60
f70189305c359765704fa99da779c833.wav	He wants me to write down only things that I think about, but not things I plan to do.	86
3037ea9f520c9baee91b14b67c1c9276.wav	testified that immediately after the shots he went to the rear of the building to check the fire escape.	104
542d121ebcd540f3c2844229156a56d9.wav	Young children are dressed in brightly colored clothed playing together in a bounce house.	90
ef8cb1d44b2d9a8e8debf6769563e9a7.wav	Mutes little instruments on the bridge of the violin, deadening the sound.	74
2009f1f660f23b0343fc7eab86a3083c.wav	Rider wears black helmet, leather jacket and black gloves as he straddles a Triumph motorcycle.	95
6584d84f62b0ce1c35cd1ed218ca4d80.wav	And what became of him?	23
66c0bca2121ce3a6bdbcd8bc3554ae57.wav	sharpers, thieves, gamblers, betting men, the outsiders of the boxing ring,	75
6203b4d0bdacdb76d144e7a08b67e4ab.wav	He was seen afterwards smoking and talking with his hosts in their back parlor, and never seen again alive.	107
13da15146e42f34f7e391c8c164f35c1.wav	but too late to give substantial aid.	37
176af5f6f103ea139892bbcfc5f69e77.wav	Sorry, I didn't catch that.	27
02128ba82a4aba626e0c5d119e3ae0f9.wav	And two other justices agreed with him.	39
91925fc7d67dcc7ac7eec0b2c1982b5a.wav	Cook and stir cabbage, onion, carrots, and salt in hot oil until cabbage is wilted, three to four minutes.	106
4a5662a7325e2e2e3c49d31f790b6208.wav	I assure you, none has a better claim upon that device than myself.	67
ce823cb5b7f1c98732b0d7aec799149d.wav	Do you want me?	15
648f6cf45066581968817fcdcb5d61f8.wav	With this change the art of printing touched bottom,	52
e7af314cf1e9d376394c027c4d156751.wav	Parents should warn their kids about possible undertow near sieves in swimming pools.	85
1decf451a663ac459d4853bf1871a3ce.wav	Being inexperienced, they decided to call in the services of a couple of professional housebreakers,	100
71e29a2898126efc72379cf99fb170d3.wav	In India, China, South Korea and Japan, many millions use trains as regular transport.	86
8fc29157b9b68793d0b06a2810196693.wav	When she called her friend for help with her computer, she repeatedly emphasized, that she hadn't done anything.	112
7316670b1d4a4bf399f0fd2445930144.wav	should be introduced into the building, and secreted there during the night to accomplish the robbery.	102
0402173ad88e71d961b421d71d5afb9f.wav	But it might have done.	23
7e9135efb838989bc5008d49100ca268.wav	Does that put pressure on us?	29
cb0920f8f752eacec00b390d198eee19.wav	The paper on which the printing is to be done is a necessary part of our subject.	81
523aab2b693f9cbf4acb20c6647496e2.wav	A woman with flowers in her hair balances a large bowl of assorted fruits on her head.	86
aedf1310ecaff566331a8c8e41d5d6b9.wav	the most hardened and the oldest in vice had the best of it, while the inexperienced beginner went to the wall.	111
fe87f4afb8a777cc26bb3fbc7f7bfdf9.wav	A good thing about English is, that you don't have to memorize whether things are feminine or masculine.	104
b92d4d85154cc82208e8fe9caf962c15.wav	The next step was to take the principals, and under such circumstances as would insure their conviction.	104
e349c92c6158430ab352c34eadb233c6.wav	The most recent estimate suggests seventy two thousand five hundred algal species worldwide.	92
3c99a2b534e11b479d185edf9935d146.wav	He continued the ancient practice of letting out a portion of his own house, and by a poetical fiction treated it as an annex of the state side.	144
5cdb72080a9ee2cc2f954ef3b5633424.wav	I can't do that right now. Please try again later.	50
2ec874b082f8c86de23dfdb4a956f1f9.wav	Eleven years later, in five eighty-six, he destroyed the sacred Hebrew city,	76
f468b84d961717a097cd7e85ba51d3db.wav	Sometimes the Privy Council did not meet for months, and during all that time the convicts languished with hope	111
a23178c585b383adf3bf686d7103ddf3.wav	The price is fair for a good antique clock.	43
887957c129462db0d53b04aaf9a77ac3.wav	Here, let me show you around.	29
740afe031eccfcc67a4bfda9fa115ae5.wav	I'm not sure how much credit I can take for our escape.	55
b47ee8ba0c91824eec635c649af19a45.wav	Hence oxygen must be supplied to the cells.	43
84ace8b69383e7bdec711a33a99bf88c.wav	I propose now to continue the subject, and to devote a couple of chapters to criminal occurrences of a more recent date,	120
740ad2b6143178a0767cfbfc20a83eef.wav	Sift into it white flour, meal and salt, and stir up well while dry.	68
e0ed1f0d6d56438b5983b451e33883af.wav	For instance, although in nearly all the numerous species of snakes there are no vestiges of limbs,	99
28bd35eb658d93c3e61f776ef6d42b31.wav	On these occasions precautions were supposed to be taken to exclude bad characters,	83
cdf9a05290969e5f15150d76cb731edd.wav	After this the sheriffs sent for another rope, but the spectators interfered, and the man was carried back to jail.	115
0a2d9b14faaf93f5407a61b63ba0d654.wav	but to determine the maximum speed at which it could be fired.	62
7be28f77e376287e4c46b622dcceb544.wav	If the material was evaluated	29
484cec0590789f645111005e18d9dbb0.wav	You must be at least one hundred and fifty centimeters to ride the ride.	72
62347c6ee587a42d2ab9a0335a24d90b.wav	Emma Goldman was born on June twenty seventh, eighteen sixty nine.	66
7ca3326d048e10187047dd067d18a91c.wav	The agents in this car, under established procedure, had instructions to watch the route for signs of trouble,	110
2bffa025bb2ab5a9c13ee532c124c10a.wav	A force equal to that would move the earth.	43
6fe3de3bd02c807ed277f379e97bd41a.wav	The entrance fee was at least thirteen shillings, six pence a head, with half-a-crown a week more for bed and bedding,	118
6b1084419c5c9143d04e25c09a839a0c.wav	Okay, It's getting dark. I will adjust the brightness accordingly.	66
35de6935e2fee7671b35543b62f46545.wav	He had eloped with his first wife from school.	46
08648c2adea349e3f1ea05f163c58d2c.wav	This is being investigated by India to take advantage of its natural thorium reserves.	86
488b059d0c8fcb280d92a2ba4c3d79d0.wav	Therefore, the use of intoxicating liquor of any kind, including beer and wine, by members of the White House Detail	116
e83e0b6a3a7e8f367a588ed592b4b2e6.wav	The old enemies of Babylon rejoiced.	36
3e3fd98a2462744f291399da45c5007f.wav	It certified that Lee Harvey Oswald had been vaccinated for smallpox on June eight, nineteen sixty-three.	105
f98f80651f8e476a374b64ae646da5e8.wav	I got a call from Ben.	22
f9469cc9cce5b902b3d43eb3cf3c4831.wav	and at length reached a point opposite the top of the building containing the condemned wards. This had been a perilous and painful task;	137
bbb47dd75f8e2b342842e8b97e9f214d.wav	that so good a man had really been for years a swindler and a rogue.	68
358e4ab4c3972f184f917178aa89850a.wav	Female African American holding a blue object in front of a wall with writing on it.	84
774842fdc1939787f92cecedb3549f42.wav	There are many people wearing either jackets or layers drinking beer or diet Coke.	82
ab308c71fb2526c566fab154e5afe201.wav	This behavior of neural networks is sometimes called dreaming.	62
c6f882813dc5d15a97997e30ebb9f96e.wav	The law made it imperative that every prison should have a prison chapel, and that daily and Sunday services should be held.	124
43c4fa55cc8049a2945e22db078f661d.wav	If someone does that, chances are they're not an official trained helper.	73
6e7f5203315f4fccee4f5100ee6365e0.wav	However, it is possible that the hanging gardens existed only in the imagination of the Greek writers,	102
92c61e2398eb21b22fc4ade8ef340ae9.wav	Some of the best known and most skilful soloists in funk have jazz backgrounds.	79
834ebdf75370d1ed2632767c97236d51.wav	The salesman was like the rest of them, untrustworthy.	54
b2a572918cdc9342ab61aab1e2602919.wav	Playing music.	14
0084d629a2ceb2c0b1ff3ac56b2c26f9.wav	Cacti can also form new roots quickly when rain falls after a drought.	70
e5031a2fc62639d2605d011b0ccbb561.wav	The existence of gravitational waves had long been predicted.	61
2fe9223fa6e4a5126a9d2a19ff70a35b.wav	I did not chose that phrase.	28
c2891c2fd43614f03cd226aa1599d664.wav	My Dad is a hero.	17
49b0a899d26ddc0dc7626801f92cd53d.wav	More haste less speed.	22
04f19e6311353466f9c06c9d793a4e3b.wav	Say it slowly but make it ring clear.	37
eea9ac78794d16146e8ea793182758bb.wav	It's the first time my grandpa does online banking.	51
7b8f5e6ddc3eed7df87f20d8742d6e6a.wav	and by the following year forty-seven new cells had been built on the most approved plan.	89
0c42e3386eb88b3bfc1073d0d38e35e3.wav	whose summit reached into the sky as far, perhaps, as the tallest of the modern buildings.	90
8d95a57e3b879859be55c6406d7c4ad4.wav	For this calendar, a common year is three hundred sixty five days, and a leap year is three hundred sixty six days.	115
6e126b13e3a59b0f4011330b1aab2eb2.wav	Neurons can connect to each other to form neural networks.	58
b859942251abdff6c80e26f0501f8a8f.wav	A woman is resting against a cross shaped pole while looking towards a large body of water.	91
aa93210a73dfd80e8258370e21163f36.wav	A drilling machine is used to fixate the ice hockey goal.	57
7baf5a52850a0d3e2511b963286ac1cb.wav	Did you know that?	18
d430ee155f0a088751c45c196845db5b.wav	Playing next song.	18
966f0469692a6fafc6cef43df2d87dfc.wav	It's impolite to ask a tree for its story unless you are ready to hear it in full length.	89
9b00e08741671c6db3fcb06c3c01dd83.wav	"The Portland Business Journal, a weekly, covers business-related news, as does ""The Daily Journal of Commerce""."	111
c62ffc0068674e1c5cd1c4f65cfa6161.wav	although their ministrations were occasionally extended to the male side.	73
ac69c8ed530693717d4b77532994422b.wav	Some of the first self-propelled vehicles in the late seventeen hundreds relied on steam.	89
c0f7cb4fac1c6568bdaee0d9c1e6dd1c.wav	When before have you found them really at your side in your fights for progress?	80
4e956a2e9a9374086b8e4c9f5f83c208.wav	who, on going down early, was surprised to find the dining-room in a state of utter confusion;	94
c60bec2651e025500f905443cbeebf8c.wav	namely, to suppress it and substitute another.	46
c2b5d6ed32297361b2f7fd6f146c8cc7.wav	My name is Mycroft, and I'm an intelligent personal assistant.	62
2b5bac4e8d4a1195b3dcad7ede4e60d2.wav	Dimming the lights.	19
a0ade85507027409d3f5e045aefad3cc.wav	At that point, Oswald refused to answer any further questions.	62
1b1b1fab5307dc9f3219c8af7dec3a05.wav	The receiver attempts to infer which message was sent.	54
88eb480058ad15baed3964161cbe866c.wav	William Arthur Smith was about a block east of tenth and Patton when he heard shots.	84
e7ae14fcd36ffaa228c3b67ce8a1b185.wav	Apple and Ireland agree on an interim deal to put thirteen billion Euros in an escrow fund for the repayment of back taxes.	123
a6d4aae776b3ec8c0c5232734d4c5421.wav	The want of room was still a crying evil.	41
35ef651f25d13770337803ead85d0a62.wav	With the advance of microscopic anatomy, the universality of the fact itself among animals has ceased to be predicable.	119
6d83c176132af34659625369a69e2764.wav	Don't give your information.	28
daa9a46b368bf06504aeee43a7987b7b.wav	Is he a drug dealer?	20
1180e184f24b34202fb572cc82eccc8b.wav	the walls of Babylon were so long and wide and high that all who saw them were amazed.	86
d9e504799ef200cede100f8b77a36fd1.wav	The inspectors' reports mention many cases of evasion accomplished.	67
